. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.37056  -1.60082   0.24044   0.98982  
      	     	          	           	          	           	             	                                      	 0.96328   0.25694  -1.55980   0.33958  
      	     	          	           	          	           	             	                                      	 0.08440   0.49749   0.15972  -0.74161  
  #62	4   	-14274.52611	Yes        	4        	0.257    	0.283    	 0.33829   0.16982   0.15715   0.33475	-0.84258   0.17625   0.50705   0.15929  
      	     	          	           	          	           	             	                                      	 0.35110  -1.43477   0.17472   0.90895  
      	     	          	           	          	           	             	                                      	 1.09150   0.18881  -1.47720   0.19689  
      	     	          	           	          	           	             	                                      	 0.16097   0.46110   0.09243  -0.71450  
  #63	4   	-14199.15698	Yes        	4        	0.388    	0.229    	 0.33770   0.16477   0.15951   0.33802	-0.64763   0.17910   0.37743   0.09110  
      	     	          	           	          	           	             	                                      	 0.36708  -1.74109   0.20394   1.17007  
      	     	          	           	          	           	             	                                      	 0.79907   0.21066  -1.35391   0.34418  
      	     	          	           	          	           	             	                                      	 0.09101   0.57036   0.16242  -0.82379  
